,std,sum,mean,timestamp
1400000US36005037200,1.99898085854,495.258636475,123.814659119,2014-02-15
1400000US36005037300,4.56451120858,532.102172852,133.025543213,2014-02-15
1400000US36005037400,11.9589382821,350.834259033,116.944753011,2014-02-15
1400000US36005037504,6.9109787438,981.591308594,140.227329799,2014-02-15
1400000US36005037600,14.1684456699,652.417114258,108.73618571,2014-02-15
1400000US36005037800,9.81740087107,443.249969482,88.6499938965,2014-02-15
1400000US36005037900,8.75243130284,704.979980469,140.995996094,2014-02-15
1400000US36005038000,14.337321828,636.767028809,106.127838135,2014-02-15
1400000US36005038100,2.78700432583,518.010742188,129.502685547,2014-02-15
1400000US36005038200,14.3439287162,660.556396484,110.092732747,2014-02-15
1400000US36005038301,6.14001865645,538.566894531,134.641723633,2014-02-15
1400000US36005038302,8.92277729128,714.275146484,142.855029297,2014-02-15
1400000US36005038500,7.09084466936,723.515441895,144.703088379,2014-02-15
1400000US36005038600,13.7913613031,1091.47387695,121.274875217,2014-02-15
1400000US36005038700,9.19700991927,887.029846191,147.838307699,2014-02-15
1400000US36005038800,13.3286507077,499.978363037,99.9956726074,2014-02-15
1400000US36005038900,8.0490222029,557.621459961,139.40536499,2014-02-15
1400000US36005039000,2.68511679795,364.920471191,91.2301177979,2014-02-15
1400000US36005039100,10.6475523714,779.154602051,129.859100342,2014-02-15
1400000US36005039200,10.6097604403,164.346038818,82.1730194092,2014-02-15
1400000US36005039300,17.8636447078,725.522521973,120.920420329,2014-02-15
1400000US36005039400,10.51050587,310.204589844,77.5511474609,2014-02-15
1400000US36005039500,7.56906934314,1004.56219482,143.508884975,2014-02-15
1400000US36005039600,5.40274857636,544.03125,90.671875,2014-02-15
1400000US36005039700,15.7118299186,1316.16564941,146.240627713,2014-02-15
1400000US36005039800,12.8078783585,529.838989258,105.967797852,2014-02-15
1400000US36005039901,11.2071306418,559.470458984,139.867614746,2014-02-15
1400000US36005039902,9.58048646078,573.134887695,143.283721924,2014-02-15
1400000US36005040100,7.27294762884,495.856689453,123.964172363,2014-02-15
1400000US36005040302,9.29784877603,420.708953857,140.236317952,2014-02-15
1400000US36005040303,9.51746008706,572.662963867,143.165740967,2014-02-15
1400000US36005040304,9.20321232096,420.487609863,140.162536621,2014-02-15
1400000US36005040400,9.20706456162,535.043334961,107.008666992,2014-02-15
1400000US36005040501,6.11366281507,566.796142578,141.699035645,2014-02-15
1400000US36005040502,10.6699274165,598.104797363,149.526199341,2014-02-15
1400000US36005040600,5.35784279262,537.150268555,89.5250447591,2014-02-15
1400000US36005040701,9.62745113456,448.855224609,149.618408203,2014-02-15
1400000US36005040702,14.1202027943,659.77142334,131.954284668,2014-02-15
1400000US36005040800,9.38987491805,389.282775879,77.8565551758,2014-02-15
1400000US36005040900,27.8421585193,1880.51928711,117.532455444,2014-02-15
1400000US36005041100,21.1275495988,515.974121094,128.993530273,2014-02-15
1400000US36005041300,18.540186768,766.440368652,127.740061442,2014-02-15
1400000US36005041400,12.8702490476,836.080444336,104.510055542,2014-02-15
1400000US36005041500,10.4440648797,505.365203857,126.341300964,2014-02-15
1400000US36005041800,9.30547407377,561.309020996,93.5515034993,2014-02-15
1400000US36005041900,14.7094666186,644.386413574,107.397735596,2014-02-15
1400000US36005042000,9.49033385965,336.107055664,84.026763916,2014-02-15
1400000US36005042100,13.5747699496,635.357788086,90.765398298,2014-02-15
1400000US36005042200,5.7981528136,351.773498535,87.9433746338,2014-02-15
1400000US36005042300,4.02424663815,372.700927734,93.1752319336,2014-02-15
1400000US36005042400,13.5516357035,572.43951416,95.4065856934,2014-02-15
1400000US36005042500,10.0587303866,707.671081543,101.095868792,2014-02-15
1400000US36005042600,16.0500417802,746.225280762,82.9139200846,2014-02-15
1400000US36005042800,11.8965208978,434.969482422,86.9938964844,2014-02-15
1400000US36005042901,8.29990528466,559.379882812,93.2299804688,2014-02-15
1400000US36005042902,4.56193894372,266.23324585,88.7444152832,2014-02-15
1400000US36005043000,7.99889238955,537.77142334,89.6285705566,2014-02-15
1400000US36005043100,20.7576493101,436.308227539,72.7180379232,2014-02-15
1400000US36005043400,13.4343278414,1011.2902832,101.12902832,2014-02-15
1400000US36005043500,25.2584058196,3297.37988281,54.055407915,2014-02-15
1400000US36005043600,14.8965155912,528.027832031,105.605566406,2014-02-15
1400000US36005044200,10.0784459736,563.752075195,93.9586791992,2014-02-15
1400000US36005044400,20.8859882396,649.108886719,92.7298409598,2014-02-15
1400000US36005044800,12.4221532251,312.25177002,78.0629425049,2014-02-15
1400000US36005044901,10.4876229135,210.68862915,42.1377258301,2014-02-15
1400000US36005044902,11.3643051006,393.427581787,65.5712636312,2014-02-15
1400000US36005045101,9.03895235118,307.019714355,76.7549285889,2014-02-15
1400000US36005045102,7.87538247769,415.139373779,83.0278747559,2014-02-15
1400000US36005045600,35.3342997923,1312.98657227,62.5231701079,2014-02-15
1400000US36005045800,17.8670457335,741.018127441,123.50302124,2014-02-15
1400000US36005046000,16.1037877201,877.420837402,125.345833915,2014-02-15
1400000US36005046201,34.4491978582,3134.61816406,130.609090169,2014-02-15
1400000US36005046202,22.8948014284,2208.19628906,129.893899357,2014-02-15
1400000US36005048400,27.5854240616,1042.18054199,115.797837999,2014-02-15
1400000US36005050400,26.3394782643,2247.36279297,28.0920349121,2014-02-15
1400000US36005051600,14.3567377203,632.309448242,21.0769816081,2014-02-15
1400000US36047000100,26.0576557686,571.961791992,95.326965332,2014-02-15
1400000US36047000200,21.1106110274,797.87322998,99.7341537476,2014-02-15
1400000US36047000301,12.3226869013,464.170837402,77.3618062337,2014-02-15
1400000US36047000501,20.7210146764,518.005859375,103.601171875,2014-02-15
