"","LATITUDE","LONGITUDE","cost","date"
"273",41.903422082,-87.669542254,20000,2007-04-06
"274",41.867122017,-87.6414076,48000,2007-03-09
"275",41.944912836,-87.679940919,350000,2007-05-31
"276",41.82434424,-87.702422958,19000,2007-05-21
"277",41.733874397,-87.560869171,8000,2007-10-17
"278",41.908267086,-87.633209926,9000,2007-09-19
"279",41.900647254,-87.627547414,2300000,2007-09-07
"280",41.864001544,-87.624225729,3e+05,2007-10-30
"281",41.918397438,-87.67858332,10000,2008-04-22
"282",41.793496859,-87.698614736,15700,2008-01-25
"283",41.856567759,-87.618976938,310000,2008-07-29
"284",41.777878218,-87.70678284,272600,2008-09-19
"285",41.928637627,-87.670437957,17875,2009-01-28
"286",41.893182812,-87.624060226,17875,2009-02-13
"287",41.716930268,-87.679666172,17875,2009-02-24
"288",41.794900797,-87.616959203,17875,2009-03-18
"289",41.852189464,-87.682033694,10000,2009-08-12
"290",41.704368319,-87.537556707,17875,2009-09-30
"291",41.976895098,-87.692279668,17875,2009-10-14
"292",41.915753225,-87.698326553,17875,2009-12-09
"293",41.743884444,-87.664343637,3000,2010-01-07
"294",41.781820139,-87.653197315,17875,2009-12-17
"295",41.774830118,-87.695866889,20000,2010-10-07
"296",41.927582562,-87.66325338,2300,2010-05-04
"297",41.875752418,-87.74653073,17875,2010-10-08
"298",41.824865186,-87.68749589,17875,2010-11-22
"299",41.93254833,-87.717060617,17875,2010-12-13
"300",41.814487039,-87.746325116,17875,2011-03-16
"301",41.706596196,-87.535432043,17875,2011-01-25
"302",41.904896822,-87.634369418,17875,2011-03-04
"303",41.782047607,-87.671405338,17875,2011-04-06
"304",41.681078715,-87.645818034,17875,2011-04-06
"305",41.885778195,-87.627793737,2000,2011-06-02
"306",41.769879388,-87.660459236,17875,2011-06-27
"307",41.878699288,-87.730633989,17875,2011-12-23
"308",41.885286238,-87.706314517,17875,2012-02-10
"309",41.707323294,-87.562229533,17875,2012-03-02
"310",41.785179544,-87.636629438,17875,2012-04-03
"311",41.78912043,-87.638160021,17875,2012-03-28
"312",41.774026342,-87.720463158,8000,2012-02-29
"313",41.785156578,-87.671485157,17875,2012-03-07
"314",41.736725814,-87.607132316,17875,2012-04-17
"315",41.690719985,-87.619726974,17875,2012-05-03
"316",41.697597206,-87.620710891,17875,2012-04-11
"317",41.999025479,-87.814061275,17875,2012-07-11
"318",41.946069053,-87.684744069,17875,2012-07-17
"319",41.921959991,-87.682518062,17875,2012-07-24
"320",41.770070988,-87.672306313,17875,2012-07-20
"321",41.772240279,-87.65445437,17875,2012-07-27
"322",41.90443093,-87.72173219,17875,2012-08-22
"323",41.818239257,-87.637278189,145000,2012-10-22
"324",41.904962589,-87.671242058,385000,NA
"325",41.796743681,-87.671804691,17875,2012-09-19
"326",41.892094137,-87.611569884,15000,2012-09-25
"327",41.937277895,-87.693028892,17875,2012-10-11
"328",41.919139514,-87.668402617,17875,2012-11-20
"329",41.798700556,-87.66241928,17875,2012-11-16
"330",41.93690485,-87.655367472,17875,2013-01-10
"331",41.731993061,-87.603812432,17875,2012-12-11
"332",41.836209509,-87.618074934,355100,2013-03-26
"333",41.844673254,-87.702455871,17875,2013-02-08
"334",41.784813603,-87.62667586,17875,2013-03-27
"335",41.895111709,-87.661524716,17875,2013-02-11
"336",41.933079944,-87.691450663,260800,2013-04-08
"337",41.79005049,-87.635531325,17875,2013-03-12
"338",41.937165443,-87.662151037,17875,2013-05-14
"339",41.946590831,-87.727554976,17875,2013-04-29
"340",41.685570884,-87.609330224,17875,2013-08-08
"341",41.91715618,-87.73618932,17875,2014-03-04
"342",41.920146609,-87.694411464,17875,2013-11-25
"343",41.889076136,-87.712610209,17875,2013-10-04
"344",41.858595505,-87.650758504,17875,2013-10-23
"345",41.936988708,-87.674992031,17875,2013-12-11
"346",41.938786206,-87.677078108,17875,2013-12-11
"347",41.946837717,-87.689018669,377400,2014-04-22
"348",41.959997497,-87.738253636,17875,2014-05-08
"349",41.994817043,-87.714342768,17875,2014-04-14
"350",41.97674453,-87.685499187,17875,2014-05-12
"351",41.941745687,-87.66035035,1200000,2014-05-14
"352",41.784543879,-87.626668577,17875,2014-05-29
"353",41.888074281,-87.634955203,5800,2014-05-21
"354",41.881029717,-87.617281566,2500,2014-06-02
"355",41.891110606,-87.68533695,17875,2014-06-11
"356",41.899260161,-87.68759166,17875,2014-07-02
"357",41.94154269,-87.670124433,1000,2014-06-26
"358",41.797020248,-87.753183495,1e+06,2014-07-11
"359",41.785603875,-87.671790703,17875,2014-07-28
"360",41.943270259,-87.666400116,17875,2014-07-29
"361",41.895650395,-87.685805807,17875,2014-08-01
"362",41.85415887,-87.638437626,17875,2014-08-15
"363",41.943927988,-87.683175711,250000,2014-08-27
"364",41.795168457,-87.666899891,17875,2014-08-27
"365",41.998098359,-87.675253374,17875,2014-09-05
"366",41.913874751,-87.642464255,17875,2014-09-18
"367",41.764454571,-87.643155755,17875,2014-09-18
"368",41.939744616,-87.668516101,17875,2014-09-24
"369",41.915005346,-87.705350442,230000,2014-10-02
"370",41.894122819,-87.710028109,17875,2014-10-03
"371",41.792674633,-87.637964946,17875,2014-10-06
"372",41.95297151,-87.789830757,17875,2014-10-09
"373",41.885829704,-87.639806436,1e+05,2014-10-16
"374",41.938977776,-87.663150517,15000,2014-11-12
"375",41.738234453,-87.550363293,17875,2014-11-19
"376",41.933594601,-87.660369134,17875,2014-11-21
"377",41.898029358,-87.665497024,672000,2014-12-03
"378",41.936368913,-87.65472078,17875,2014-12-08
"379",41.902346186,-87.666092547,22250,2014-12-09
"380",41.747659489,-87.554176652,17875,2014-12-31
"381",41.869839811,-87.627332239,60000,2015-01-12
"382",41.918859755,-87.787598464,2e+05,2015-02-10
"383",41.810413119,-87.621388518,35000,2015-03-09
"384",41.803995339,-87.6587305,17875,2015-03-10
"385",41.955819921,-87.682560508,250000,2015-03-12
"386",41.894151571,-87.747266439,17875,2015-03-13
"387",41.741776859,-87.602688094,17875,2015-03-19
"388",41.904510871,-87.710775787,17875,2015-03-31
"389",41.861156555,-87.693669958,17875,2015-03-30
"390",41.759039629,-87.645614315,17875,2015-04-02
"391",41.796636896,-87.793992145,120000,NA
"392",41.817982819,-87.639803834,230000,2015-04-17
"393",41.677718304,-87.640642336,17875,2015-04-22
"394",41.943404846,-87.672195392,408100,2015-04-27
"395",41.940758896,-87.665845997,522000,NA
"396",41.832144031,-87.724395923,1e+06,2015-05-19
"397",41.943232828,-87.670126972,10000,2015-05-29
"398",41.92496731,-87.692169735,17875,2015-06-02
"399",41.894012404,-87.675283725,17875,2015-06-02
"400",41.941751995,-87.679767844,386000,2015-06-02
"401",41.841480856,-87.695267841,250000,2015-06-10
"402",42.012019042,-87.697151193,17875,2015-06-10
"403",41.977649469,-87.685796873,2e+05,2015-06-16
"404",41.888074281,-87.634955203,9000,2015-06-17
"405",41.852670399,-87.652117379,17875,2015-07-30
"406",41.883800252,-87.642863485,17875,2015-10-01
"407",41.81015863,-87.743367123,375000,2007-08-02
"408",41.935421104,-87.717584447,1450000,2009-11-05
"409",41.894726659,-87.706384177,6500000,2009-12-15
"410",41.949039363,-87.688174714,770000,2010-05-10
"411",41.773284124,-87.644765237,760000,2010-10-29
"412",41.962767919,-87.836840327,6e+05,2010-06-09
"413",41.861880815,-87.624173823,6e+06,2010-07-26
"414",41.946840491,-87.669001818,1300000,2010-08-13
"415",41.929203774,-87.649040137,1e+06,2010-09-01
"416",41.684211951,-87.606892831,17875,2011-03-21
"417",41.955787557,-87.715569345,225000,2015-07-06
"418",41.926914811,-87.692745635,986850,2015-07-06
"419",41.899180347,-87.673625223,575000,2015-07-06
"420",41.893883565,-87.633879645,17875,2015-07-06
"421",42.005704933,-87.777802826,125000,2015-07-06
"422",41.780476471,-87.771447793,3000,2015-07-06
"423",41.886312514,-87.62054177,5000,NA
"424",41.943302926,-87.671355153,2500000,2015-07-02
"425",41.916973635,-87.640135078,3e+05,NA
"426",41.915552192,-87.672847838,25000,2015-07-07
"427",41.790039029,-87.67191067,17875,2015-07-07
"428",41.945466531,-87.683220686,350000,2015-07-07
"429",41.946288615,-87.742887952,319200,2015-07-07
"430",41.946287792,-87.74295683,319200,2015-07-07
"431",41.946286968,-87.743025708,319200,2015-07-07
"432",41.946285321,-87.743163465,319200,2015-07-07
"433",41.775459005,-87.630601261,17875,2015-07-07
"434",41.974218006,-87.670550867,17875,2015-07-07
"435",41.964556919,-87.721543375,1200,2015-07-07
"436",41.984363,-87.672511574,2e+05,2015-07-07
"437",41.929142085,-87.652205071,750000,2015-07-07
"438",41.781435412,-87.610680806,6000,2015-07-07
"439",41.892094137,-87.611569884,3500,2015-07-07
"440",41.820088231,-87.597133818,20000,2015-07-07
"441",41.891372967,-87.642804245,12000,2015-07-07
"442",41.754138276,-87.647625772,22000,2015-07-08
"443",41.931372123,-87.676880664,4400000,2015-07-08
"444",41.955101777,-87.670793787,17875,2015-07-08
"445",41.814317352,-87.665261316,17875,2015-07-08
"446",41.893923184,-87.680709627,17875,2015-07-08
"447",41.92596372,-87.664749313,17875,2015-07-08
"448",41.915873835,-87.727594136,247206,2015-07-08
"449",41.885131177,-87.647310348,92000,2015-06-25
"450",41.897607859,-87.677983285,17875,2015-07-08
"451",41.884221607,-87.619339059,8000,2015-07-08
"452",41.922768458,-87.6841859,25875,2015-07-08
"453",41.941160159,-87.678546015,350000,2015-07-08
"454",41.939578408,-87.746738465,5000,2015-07-08
"455",41.793533064,-87.615803055,3000,2015-07-08
"456",41.863272775,-87.65914247,5000,2015-07-08
"457",41.863272775,-87.65914247,5000,2015-07-08
"458",41.965937891,-87.732224602,17875,2015-07-09
"459",41.815004773,-87.730181046,50000,2015-07-09
"460",41.936772877,-87.674660519,3e+05,2015-07-09
"461",41.957854224,-87.714115899,17875,2015-07-09
"462",41.775443245,-87.649386432,17875,2015-07-09
"463",NA,NA,17875,2015-07-09
"464",41.984363,-87.672511574,17875,2015-07-09
"465",41.900676791,-87.676109847,8000,NA
"466",41.937421078,-87.702309161,17875,2015-07-09
"467",41.953280924,-87.682228376,350000,NA
"468",41.932515512,-87.719796973,17875,2015-07-09
"469",41.902579983,-87.738667289,17875,2015-07-09
"470",41.842669812,-87.642897237,17875,2015-07-09
"471",NA,NA,10000,2015-07-08
"472",41.899743868,-87.656495458,8e+06,2015-07-09
"473",41.96524258,-87.744116732,14000,2015-07-08
"474",41.90048723,-87.701606632,8200000,2015-07-09
"475",41.949001675,-87.666341811,1e+06,2015-07-10
"476",41.9319573,-87.722485417,220000,2015-07-10
"477",41.798668869,-87.779413646,230000,2015-07-10
"478",41.926902182,-87.689084378,250000,2015-07-10
"479",41.946572895,-87.720641533,17875,2015-07-10
"480",41.946571868,-87.720717412,17875,2015-07-10
"481",41.798612668,-87.779411941,250000,2015-07-10
"482",41.945861963,-87.670195427,17875,2015-07-10
"483",41.961426337,-87.684021397,1500,2015-07-10
"484",41.96377327,-87.685218963,1500,2015-07-10
"485",41.853650885,-87.620533581,17875,2015-07-09
"486",41.684522885,-87.690084087,2e+05,2015-07-13
"487",41.92823874,-87.651676672,1200000,2015-07-13
"488",41.679707856,-87.662586583,635000,2015-07-13
"489",41.923821483,-87.715108998,17875,2015-07-13
"490",41.923820502,-87.715190485,17875,2015-07-13
"491",41.929704207,-87.651185358,275000,2015-07-13
"492",41.935692836,-87.663310997,17875,2015-07-13
"493",41.911032851,-87.713190631,638200,2015-07-13
"494",41.924928364,-87.676958645,17875,2015-07-13
"495",41.911732148,-87.706941632,3842000,2015-07-14
"496",41.90637059,-87.682088677,3e+05,2015-07-14
"497",41.878708113,-87.685557795,8e+05,2015-07-14
"498",41.901551566,-87.634537445,1447000,2015-07-14
"499",41.905282479,-87.674018119,2e+05,2015-07-14
"500",41.867587696,-87.689578804,277500,2015-07-14
"501",41.867590021,-87.689509861,277500,2015-07-14
"502",41.870191858,-87.652383172,4e+05,2015-07-14
"503",41.959950186,-87.794091232,1000,2015-07-14
"504",41.902652568,-87.668851618,17875,2015-07-14
"505",41.921057159,-87.716587818,309000,2015-07-14
"506",41.949761677,-87.702863408,250000,2015-07-14
"507",41.782340525,-87.67291864,17875,2015-07-14
"508",41.78239705,-87.672920184,17875,2015-07-14
"509",41.782566625,-87.672924815,17875,2015-07-14
"510",41.78262315,-87.672926359,17875,2015-07-14
"511",41.7825101,-87.672923271,17875,2015-07-14
"512",41.925133784,-87.725423321,247120,2015-07-14
"513",41.834503983,-87.715885919,17875,2015-07-14
"514",41.816141846,-87.641621801,17875,2015-07-14
"515",41.918120284,-87.714108847,17875,2015-07-14
"516",41.862628294,-87.615031094,30000,2015-07-14
"517",41.780476471,-87.771447793,1000,2015-07-14
"518",41.884221607,-87.619339059,6000,2015-07-14
"519",41.88471128,-87.664281826,10000,2015-07-14
"520",41.88471128,-87.664281826,1000,2015-07-14
"521",41.917520885,-87.684075933,528200,2015-07-14
"522",41.830783662,-87.635295783,5000,2015-07-14
"523",41.891372967,-87.642804245,2000,2015-07-14
"524",41.773962754,-87.686082525,17875,2015-07-15
"525",41.803187466,-87.66862049,17875,2015-07-15
"526",41.888040594,-87.628170663,4500,2015-07-14
"527",41.810473116,-87.61038624,311000,2015-07-15
"528",41.96248211,-87.68077184,17875,2015-07-15
"529",41.904510871,-87.710775787,365200,2015-07-15
"530",41.88242977,-87.754063215,17875,2015-07-15
"531",41.856796559,-87.650112901,17875,2015-07-15
